name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A1	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	artifact
A2	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A3	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A4	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A5	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A6	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A7	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A8	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A9	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	artifact
A10	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	artifact
A11	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A12	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A13	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A14	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A15	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A16	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A17	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A18	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A19	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A20	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A21	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A22	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A23	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A24	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A25	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A26	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	spiking
A27	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A28	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A29	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A30	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A31	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A32	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A33	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A34	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A35	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A36	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A37	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A38	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A39	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A40	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A41	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A42	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A43	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	good	n/a
A44	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A45	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A46	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
A47	ECOG	µV	n/a	n/a	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
